sample_index,time_us,current_ua,digital_bits
6400,63559.499802067876,443.164738776963,128
6500,63672.0999609679,263.7342110281958,0
6600,63777.299830690026,436.33332069114306,0
6700,69333.79988186061,244.78442990144555,0
6800,69446.49992510676,295.61142998134363,0
6900,69554.39993180335,757.6323774204383,0
7000,69662.69994154572,2351.2851810423385,0
7100,69769.89982649684,1919.7184076696658,0
7200,74879.19996492565,360.8177649695444,0
7300,74985.69996096194,2515.577196525839,0
7400,75089.49982002378,85.72805192113559,0
7500,75192.20001995564,1493.3565978422293,0
7600,75296.79988510907,1256.352196462252,0
7700,79168.99980045855,2237.60961178226,0
7800,79284.19997915626,403.2014090628591,0
7900,79396.10001631081,471.48622612241803,0
8000,79506.59980997443,436.33332069114306,0
8100,79613.1999231875,230.7249781823091,0
8200,84434.59984846413,273.45489650923076,0
8300,84546.60000279546,112.2620847602666,0
8400,84655.19989840686,1450.1429479758758,0
8500,84762.80001923442,93.84490955212708,0
8600,84870.5000244081,1775.5663443227065,0
8700,85037.4000146985,1493.3565978422293,0
8800,90105.59995658696,2341.2705027760403,0
8900,90217.59987808764,413.1664013485816,0
9000,90338.19986507297,416.7943060050102,0
9100,90457.89996162057,270.80209202975493,0
9200,90567.09986180067,462.7437489043231,0
9300,95379.59983572364,1114.9364784859613,0
9400,95492.09987744689,81.03469131555279,0
9500,95602.50001959503,279.2070352197705,0
9600,95712.89992891252,534.1580822372784,0
9700,95823.09983670712,1893.465043017748,0
9800,99364.90003019571,1389.73488708797,0
9900,99475.99982842803,1212.5617327939117,0
10000,99585.8998503536,421.332390149034,0
10100,99702.09980383515,229.40877318900806,0
10200,99808.79980139434,279.2070352197705,0
10300,105144.79991979897,618.3091588452468,0
10400,105254.69994172454,306.7230646704004,0
10500,105361.09982058406,588.8316229486067,0
10600,105505.79987466335,1897.8392488983504,0
10700,105683.29994566739,1320.8271731089205,0
10800,110668.59983839095,371.60922322237474,0
10900,110782.69989229739,416.7943060050102,0
11000,110894.79993097484,390.0920580548244,0
11100,111004.79983724654,630.9505178835382,0
11200,111114.39997330308,982.629032307739,0
11300,114659.89984571934,2729.818378269269,0
11400,114768.49997416139,400.9390405814473,0
11500,114873.39995801449,438.60957024100304,0
11600,114978.09994034469,243.46480802975728,0
11700,115081.50002919137,315.6283890390861,0
11800,120254.59995493293,957.0812968244903,0
11900,120362.8999646753,732.2569845452056,0
12000,120473.19998964667,2196.556681981854,0
12100,120689.69989195466,374.7605936638775,0
12200,120803.3999428153,443.6204513892166,0
12300,125760.099850595,254.03075230902988,0
12400,125868.09997446835,291.173004790281,0
12500,125972.29983657598,273.8971551628346,0
12600,126077.69994065166,465.0790924861858,0
12700,126182.99992755055,253.59009531717004,0
12800,129743.20002831519,154.04947853955858,0
12900,129860.59999093413,1123.4903273657899,0
13000,129969.59988959134,87.86282135027398,0
13100,130078.00001651049,1558.2786897455426,0
13200,130185.9999075532,991.1492797985832,0
13300,130293.80002990365,1954.7532435138862,0
13400,135931.29999935627,1424.240772034632,0
13500,136042.00002737343,5667.161052056096,0
13600,136159.2998728156,1614.6431390638197,0
13700,136374.09987859428,371.15916981495,0
13800,136500.49990974367,406.82304944224444,0
13900,142176.09982006252,397.7732195917652,0
14000,142412.19987161458,2895.8148513068895,0
14100,142554.69990894198,402.74886418161043,0
14200,142666.29982739687,465.5365135376329,0
14300,142772.39982038736,396.8690196413477,0
14400,146450.7000055164,464.16435716074085,0
14500,146561.4999178797,430.8739522047656,0
14600,146669.8998119682,368.00979255250644,0
14700,146778.09993736446,419.06290317098205,0
14800,146885.99994406104,816.917501566806,0
14900,150687.09990009665,2783.57377854439,0
