=cmd-param-changed,param="logging enabled",value="on"
~"index,tick,delta_tick,mode,x,y,z,conv_status,read_status\n"
~"189,1085,383,1,-4640,-4480,-32528,145,0\n"
~"190,1087,385,1,-4672,-4256,-32528,241,0\n"
~"191,1089,387,1,-4592,-4544,-32528,49,0\n"
~"192,1091,389,1,-4944,-4176,-32528,113,0\n"
~"193,1093,391,1,-4800,-4192,-32528,177,0\n"
~"194,1095,393,1,8736,-5632,-32528,241,0\n"
~"195,1097,395,1,27520,2288,-32528,49,0\n"
~"196,1099,397,1,26000,9968,-32528,113,0\n"
~"197,1101,399,1,24608,12608,-32528,241,0\n"
~"198,1103,401,1,24432,12496,-32528,17,0\n"
~"199,1105,403,1,24080,12192,-32528,81,0\n"
~"200,1107,405,1,-5120,-8624,-32528,145,0\n"
~"201,1109,407,1,-4688,-8352,-32528,209,0\n"
~"202,1111,409,1,-4800,-8256,-32528,17,0\n"
~"203,1113,411,1,-4640,-8256,-32528,81,0\n"
~"204,1115,413,1,-4704,-8272,-32528,145,0\n"
~"205,1117,415,1,-4544,-8192,-32528,241,0\n"
~"206,1119,417,1,-4592,-8320,-32528,113,0\n"
~"207,1121,419,1,-4768,-8176,-32528,113,0\n"
~"208,1123,421,1,-4592,-8336,-32528,177,0\n"
~"209,1125,423,1,-4800,-8368,-32528,241,0\n"
~"210,1127,425,1,-4768,-8144,-32528,49,0\n"
~"211,1129,427,1,-4576,-8320,-32528,113,0\n"
~"212,1131,429,1,-4720,-8368,-32528,177,0\n"
~"213,1133,431,1,-4768,-8224,-32528,17,0\n"
~"214,1135,433,1,-4576,-8208,-32528,81,0\n"
~"215,1137,435,1,-4576,-8400,-32528,145,0\n"
~"216,1139,437,1,-4640,-8288,-32528,209,0\n"
~"217,1141,439,1,-4768,-8208,-32528,17,0\n"
~"218,1143,441,1,-4608,-8304,-32528,81,0\n"
~"219,1146,444,1,9680,-5200,-32528,177,0\n"
~"220,1148,446,1,27776,4768,-32528,17,0\n"
~"221,1150,448,1,27312,7088,-32528,81,0\n"
~"222,1152,450,1,27456,6944,-32528,145,0\n"
~"223,1154,452,1,26928,6704,-32528,241,0\n"
~"224,1156,454,1,-5168,-7328,-32528,49,0\n"
~"225,1158,456,1,-5040,-7312,-32528,113,0\n"
~"226,1160,458,1,-5072,-7168,-32528,177,0\n"
~"227,1162,460,1,-5008,-7536,-32528,241,0\n"
~"228,1164,462,1,-5024,-7376,-32528,49,0\n"
~"229,1166,464,1,-5136,-7376,-32528,113,0\n"
~"230,1168,466,1,-5040,-7296,-32528,177,0\n"
~"231,1170,468,1,-4928,-7040,-32528,49,0\n"
~"232,1172,470,1,-4992,-7488,-32528,81,0\n"
~"233,1174,472,1,-4912,-7184,-32528,145,0\n"
~"234,1176,474,1,-4992,-7360,-32528,17,0\n"
~"235,1178,476,1,-4912,-7280,-32528,49,0\n"
~"236,1180,478,1,-5056,-7280,-32528,113,0\n"
~"237,1182,480,1,-5024,-7408,-32528,177,0\n"
~"238,1184,482,1,-5008,-7184,-32528,241,0\n"
~"239,1186,484,1,-5184,-7440,-32528,49,0\n"
~"240,1188,486,1,-4864,-7456,-32528,113,0\n"
~"241,1190,488,1,-5104,-7136,-32528,177,0\n"
~"242,1192,490,1,-2288,-11200,-32528,17,0\n"
~"243,1194,492,1,5232,-22016,-32528,81,0\n"
~"244,1196,494,1,10080,-26672,-32528,145,0\n"
~"245,1198,496,1,12000,-26432,-32528,209,0\n"
~"246,1200,498,1,12240,-26160,-32528,17,0\n"
~"247,1202,500,1,12128,-26256,-32528,81,0\n"
~"248,1204,502,1,12208,-26080,-32528,145,0\n"
~"249,1206,504,1,5136,-13376,-32528,209,0\n"
~"250,1208,506,1,2000,-8704,-32528,17,0\n"
~"251,1210,508,1,2096,-8768,-32528,81,0\n"
~"252,1212,510,1,2240,-8512,-32528,177,0\n"
~"253,1214,512,1,2112,-8592,-32528,241,0\n"
~"254,1216,514,1,2032,-8656,-32528,49,0\n"
~"255,1218,516,1,2144,-8752,-32528,113,0\n"
~"256,1220,518,1,2176,-8752,-32528,241,0\n"
~"257,1222,520,1,2128,-8640,-32528,241,0\n"
~"258,1224,522,1,2144,-8688,-32528,49,0\n"
~"259,1226,524,1,2032,-8848,-32528,145,0\n"
~"260,1228,526,1,2128,-8656,-32528,177,0\n"
~"261,1230,528,1,2064,-8816,-32528,17,0\n"
~"262,1232,530,1,2208,-8688,-32528,81,0\n"
~"263,1234,532,1,2000,-8768,-32528,145,0\n"
~"264,1236,534,1,2032,-8640,-32528,209,0\n"
~"265,1238,536,1,2240,-8720,-32528,17,0\n"
~"266,1240,538,1,1984,-10832,-32528,81,0\n"
~"267,1242,540,1,2640,-15008,-32528,145,0\n"
~"268,1244,542,1,3296,-22752,-32528,209,0\n"
~"269,1247,545,1,1760,-28560,-32528,81,0\n"
~"270,1249,547,1,784,-28688,-32528,145,0\n"
~"271,1251,549,1,-4864,-27808,-32528,241,0\n"
~"272,1253,551,1,-12976,-23568,-32528,17,0\n"
~"273,1255,553,1,-13168,-19312,-32528,81,0\n"
~"274,1257,555,1,-4304,-9344,-32528,145,0\n"
~"275,1259,557,1,-4512,-9184,-32528,209,0\n"
~"276,1261,559,1,-4384,-9136,-32528,17,0\n"
~"277,1263,561,1,-4464,-9248,-32528,113,0\n"
~"278,1265,563,1,-4352,-9104,-32528,209,0\n"
~"279,1267,565,1,-4384,-9312,-32528,17,0\n"
~"280,1269,567,1,-4384,-9152,-32528,81,0\n"
~"281,1271,569,1,-4288,-9232,-32528,209,0\n"
~"282,1273,571,1,-4336,-9072,-32528,209,0\n"
~"283,1275,573,1,-4432,-9136,-32528,17,0\n"
~"284,1277,575,1,-4288,-9168,-32528,81,0\n"
~"285,1279,577,1,-4320,-9120,-32528,145,0\n"
~"286,1281,579,1,-4384,-8976,-32528,209,0\n"
~"287,1283,581,1,-4480,-9424,-32528,17,0\n"
~"288,1285,583,1,-4368,-9152,-32528,81,0\n"
~"289,1287,585,1,-4448,-9232,-32528,145,0\n"
~"290,1289,587,1,-4496,-9200,-32528,209,0\n"
~"291,1291,589,1,-4432,-9248,-32528,17,0\n"
~"292,1293,591,1,-4272,-9216,-32528,81,0\n"
~"293,1295,593,1,-4448,-9200,-32528,177,0\n"
~"294,1297,595,1,-4208,-9344,-32528,17,0\n"
~"295,1299,597,1,-2816,-6448,-32528,81,0\n"
~"296,1301,599,1,12288,16016,-32528,177,0\n"
~"297,1303,601,1,14640,19568,-32528,209,0\n"
~"298,1305,603,1,14832,19392,-32528,17,0\n"
~"299,1307,605,1,14032,18592,-32528,81,0\n"
~"300,1309,607,1,-2352,-7856,-32528,177,0\n"
~"301,1311,609,1,-2176,-7952,-32528,241,0\n"
~"302,1313,611,1,-2256,-7792,-32528,49,0\n"
~"303,1315,613,1,-2560,-7968,-32528,113,0\n"
~"304,1317,615,1,-2272,-8000,-32528,177,0\n"
~"305,1319,617,1,-2304,-7856,-32528,241,0\n"
~"306,1321,619,1,-2416,-7968,-32528,113,0\n"
~"307,1323,621,1,-2544,-7936,-32528,113,0\n"
~"308,1325,623,1,-2336,-7728,-32528,177,0\n"
~"309,1327,625,1,-2400,-7872,-32528,241,0\n"
~"310,1329,627,1,-2336,-7856,-32528,49,0\n"
~"311,1331,629,1,-2400,-7904,-32528,113,0\n"
~"312,1333,631,1,-2368,-7936,-32528,177,0\n"
~"313,1335,633,1,-2320,-8000,-32528,17,0\n"
~"314,1337,635,1,-2352,-7920,-32528,81,0\n"
~"315,1339,637,1,-2320,-7968,-32528,145,0\n"
~"316,1341,639,1,-2464,-7840,-32528,209,0\n"
~"317,1343,641,1,2256,-3504,-32528,17,0\n"
~"318,1345,643,1,24160,13296,-32528,81,0\n"
~"319,1348,646,1,24320,13312,-32528,209,0\n"
~"320,1350,648,1,24128,13088,-32528,17,0\n"
~"321,1352,650,1,23712,12416,-32528,81,0\n"
~"322,1354,652,1,-2512,-7792,-32528,177,0\n"
~"323,1356,654,1,-2512,-7984,-32528,241,0\n"
~"324,1358,656,1,-2336,-7856,-32528,49,0\n"
~"325,1360,658,1,-2720,-7888,-32528,113,0\n"
~"326,1362,660,1,-2496,-7728,-32528,209,0\n"
~"327,1364,662,1,-2368,-7888,-32528,17,0\n"
~"328,1366,664,1,-2576,-7808,-32528,81,0\n"
~"329,1368,666,1,-2432,-7840,-32528,145,0\n"
~"330,1370,668,1,-2448,-7744,-32528,209,0\n"
~"331,1372,670,1,-2496,-8048,-32528,81,0\n"
~"332,1374,672,1,-2624,-7680,-32528,113,0\n"
~"333,1376,674,1,-2640,-7840,-32528,241,0\n"
~"334,1378,676,1,-2560,-7744,-32528,17,0\n"
~"335,1380,678,1,-1664,-8368,-32528,81,0\n"
~"336,1382,680,1,15952,-22336,-32528,145,0\n"
~"337,1384,682,1,16832,-23072,-32528,209,0\n"
~"338,1386,684,1,16880,-23456,-32528,17,0\n"
~"339,1388,686,1,17232,-23344,-32528,81,0\n"
~"340,1390,688,1,17104,-23200,-32528,145,0\n"
~"341,1392,690,1,16976,-23040,-32528,241,0\n"
~"342,1394,692,1,1744,-6400,-32528,49,0\n"
~"343,1396,694,1,1568,-6544,-32528,113,0\n"
~"344,1398,696,1,1696,-6528,-32528,177,0\n"
~"345,1400,698,1,1696,-6512,-32528,241,0\n"
~"346,1402,700,1,1696,-6400,-32528,49,0\n"
~"347,1404,702,1,1824,-6528,-32528,113,0\n"
~"348,1406,704,1,1840,-6608,-32528,177,0\n"
~"349,1408,706,1,1920,-6576,-32528,17,0\n"
~"350,1410,708,1,1792,-6448,-32528,113,0\n"
~"351,1412,710,1,1600,-6496,-32528,177,0\n"
~"352,1414,712,1,1696,-6432,-32528,241,0\n"
~"353,1416,714,1,1824,-6480,-32528,49,0\n"
~"354,1418,716,1,1728,-6496,-32528,113,0\n"
~"355,1420,718,1,1648,-6528,-32528,177,0\n"
~"356,1422,720,1,1616,-6544,-32528,49,0\n"
~"357,1424,722,1,-1488,-8656,-32528,49,0\n"
~"358,1426,724,1,-15440,-19344,-32528,145,0\n"
~"359,1428,726,1,-16416,-20144,-32528,177,0\n"
~"360,1430,728,1,-16416,-20480,-32528,241,0\n"
~"361,1432,730,1,-16416,-20432,-32528,49,0\n"
~"362,1434,732,1,-16496,-20128,-32528,113,0\n"
~"363,1436,734,1,-5536,-9056,-32528,177,0\n"
~"364,1438,736,1,-3472,-7392,-32528,241,0\n"
~"365,1440,738,1,-3392,-7472,-32528,49,0\n"
