=cmd-param-changed,param="logging enabled",value="on"
~"index,tick,delta_tick,mode,x,y,z,sensor_config2,conv_status,read_status\n"
~"231,1041,463,2,1216,-28560,-32400,0x0,49,0\n"
~"232,1043,465,2,1344,-28832,-32400,0x0,113,0\n"
~"233,1045,467,2,1296,-28624,-32400,0x0,145,0\n"
~"234,1047,469,2,1184,-28704,-32400,0x0,209,0\n"
~"235,1049,471,2,-3872,-24512,-32400,0x0,17,0\n"
~"236,1051,473,2,-12848,-15760,-32400,0x0,49,0\n"
~"237,1053,475,2,-20096,-7344,-32400,0x0,113,0\n"
~"238,1055,477,2,-26288,592,-32400,0x0,145,0\n"
~"239,1057,479,2,-28912,4800,-32400,0x0,209,0\n"
~"240,1059,481,2,-28736,4960,-32400,0x0,17,0\n"
~"241,1061,483,2,-28784,4864,-32400,0x0,49,0\n"
~"242,1063,485,2,-28528,4800,-32400,0x0,113,0\n"
~"243,1065,487,2,-28880,4816,-32400,0x0,177,0\n"
~"244,1067,489,2,-28784,4848,-32400,0x0,241,0\n"
~"245,1069,491,2,-28736,4848,-32400,0x0,49,0\n"
~"246,1071,493,2,-28672,4816,-32400,0x0,81,0\n"
~"247,1073,495,2,-28768,4976,-32400,0x0,145,0\n"
~"248,1075,497,2,-17760,-1744,-32400,0x0,17,0\n"
~"249,1077,499,2,-5568,-10144,-32400,0x0,49,0\n"
~"250,1079,501,2,8768,-20096,-32400,0x0,81,0\n"
~"251,1081,503,2,8896,-20000,-32400,0x0,145,0\n"
~"252,1083,505,2,8592,-20112,-32400,0x0,209,0\n"
~"253,1085,507,2,8656,-20192,-32400,0x0,17,0\n"
~"254,1087,509,2,8800,-20144,-32400,0x0,49,0\n"
~"255,1089,511,2,8736,-20128,-32400,0x0,113,0\n"
~"256,1091,513,2,8576,-20096,-32400,0x0,177,0\n"
~"257,1093,515,2,8800,-20048,-32400,0x0,241,0\n"
~"258,1095,517,2,8656,-19904,-32400,0x0,49,0\n"
~"259,1097,519,2,8832,-20160,-32400,0x0,113,0\n"
~"260,1099,521,2,-2864,-17168,-32400,0x0,177,0\n"
~"261,1101,523,2,-24016,-16448,-32400,0x0,241,0\n"
