=cmd-param-changed,param="logging enabled",value="on"
~"index,tick,delta_tick,mode,x,y,z,sensor_config2,conv_status,read_status\n"
~"163,904,330,1,-8000,-9712,-32400,0x0,145,0\n"
~"164,906,332,1,-7808,-9648,-32400,0x0,209,0\n"
~"165,908,334,1,-7984,-9600,-32400,0x0,241,0\n"
~"166,910,336,1,-7840,-9744,-32400,0x0,49,0\n"
~"167,912,338,1,-7952,-9760,-32400,0x0,81,0\n"
~"168,914,340,1,-7792,-9664,-32400,0x0,113,0\n"
~"169,916,342,1,-8048,-9696,-32400,0x0,177,0\n"
~"170,918,344,1,-7952,-9712,-32448,0x0,241,0\n"
~"171,920,346,1,-7968,-9744,-32400,0x0,17,0\n"
~"172,922,348,1,-8160,-9840,-32400,0x0,81,0\n"
~"173,924,350,1,-8016,-9632,-32400,0x0,145,0\n"
~"174,926,352,1,-8144,-9664,-32400,0x0,241,0\n"
~"175,928,354,1,-32368,-4160,-32400,0x0,17,0\n"
~"176,930,356,1,-32368,-3968,-32400,0x0,81,0\n"
~"177,932,358,1,-15424,-8416,-32448,0x0,145,0\n"
~"178,934,360,1,-11728,-9344,-32448,0x0,177,0\n"
~"179,936,362,1,-11680,-9216,-32448,0x0,113,0\n"
~"180,938,364,1,-11536,-9104,-32448,0x0,17,0\n"
~"181,940,366,1,-11552,-9296,-32400,0x0,49,0\n"
~"182,942,368,1,-11648,-9344,-32448,0x0,113,0\n"
~"183,944,370,1,-11600,-9248,-32400,0x0,177,0\n"
~"184,946,372,1,-11728,-9312,-32400,0x0,241,0\n"
~"185,948,374,1,-11648,-9120,-32400,0x0,17,0\n"
~"186,950,376,1,-11776,-9248,-32400,0x0,81,0\n"
~"187,952,378,1,-11584,-9344,-32448,0x0,145,0\n"
~"188,954,380,1,-11616,-9488,-32400,0x0,209,0\n"
~"189,956,382,1,-11568,-9216,-32400,0x0,241,0\n"
~"190,958,384,1,-11584,-9504,-32400,0x0,49,0\n"
~"191,960,386,1,-11616,-9200,-32400,0x0,113,0\n"
~"192,962,388,1,-11728,-9344,-32400,0x0,145,0\n"
~"193,964,390,1,-18624,12016,-32400,0x0,209,0\n"
~"194,966,392,1,-18496,12000,-32400,0x0,17,0\n"
~"195,968,394,1,-12608,-7664,-32400,0x0,81,0\n"
~"196,970,396,1,-12640,-7600,-32400,0x0,145,0\n"
~"197,972,398,1,-12656,-7536,-32400,0x0,209,0\n"
~"198,974,400,1,-12656,-7760,-32448,0x0,17,0\n"
~"199,976,402,1,-12768,-7616,-32400,0x0,113,0\n"
~"200,978,404,1,-12832,-7600,-32400,0x0,145,0\n"
~"201,980,406,1,-12720,-7520,-32400,0x0,209,0\n"
~"202,982,408,1,-12800,-7664,-32400,0x0,241,0\n"
~"203,984,410,1,-12640,-7488,-32400,0x0,49,0\n"
~"204,987,413,1,-12800,-7568,-32448,0x0,49,0\n"
~"205,989,415,1,-12784,-7600,-32400,0x0,241,0\n"
~"206,991,417,1,-12560,-7664,-32400,0x0,17,0\n"
~"207,993,419,1,-12624,-7600,-32400,0x0,81,0\n"
~"208,995,421,1,-12736,-7648,-32448,0x0,145,0\n"
~"209,997,423,1,-12736,-7808,-32400,0x0,209,0\n"
~"210,999,425,1,-12608,-7744,-32400,0x0,17,0\n"
~"211,1001,427,1,-12720,-7648,-32448,0x0,113,0\n"
~"212,1003,429,1,-6064,9648,-32400,0x0,113,0\n"
~"213,1005,431,1,-4448,12272,-32448,0x0,145,0\n"
~"214,1007,433,1,-7040,4528,-32400,0x0,209,0\n"
~"215,1009,435,1,-10992,-7504,-32448,0x0,17,0\n"
~"216,1011,437,1,-11024,-7296,-32400,0x0,49,0\n"
~"217,1013,439,1,-11120,-7280,-32448,0x0,113,0\n"
~"218,1015,441,1,-11184,-7312,-32448,0x0,145,0\n"
~"219,1017,443,1,-11056,-7616,-32400,0x0,177,0\n"
~"220,1019,445,1,-11072,-7344,-32400,0x0,241,0\n"
