=cmd-param-changed,param="logging enabled",value="on"
~"index,tick,delta_tick,mode,x,y,z,sensor_config2,conv_status,read_status\n"
~"167,906,338,4,-10800,-3392,-32592,0x3,241,0\n"
~"168,908,340,4,-10528,-656,-32560,0x3,49,0\n"
~"169,910,342,4,-9824,1504,-32592,0x3,17,0\n"
~"170,912,344,4,-9120,2832,-32592,0x3,209,0\n"
~"171,914,346,4,-8064,4336,-32560,0x3,17,0\n"
~"172,916,348,4,-7040,5216,-32592,0x3,81,0\n"
~"173,918,350,4,-5680,6672,-32592,0x3,145,0\n"
~"174,920,352,4,-3936,7904,-32592,0x3,209,0\n"
~"175,922,354,4,-3088,8416,-32592,0x3,241,0\n"
~"176,924,356,4,-2464,8704,-32592,0x3,49,0\n"
~"177,926,358,4,-832,9104,-32592,0x3,145,0\n"
~"178,928,360,4,1184,9456,-32592,0x3,177,0\n"
~"179,930,362,4,1744,9600,-32592,0x3,241,0\n"
~"180,932,364,4,2096,9520,-32560,0x3,17,0\n"
~"181,934,366,4,2864,9536,-32592,0x3,81,0\n"
~"182,936,368,4,5088,9328,-32592,0x3,145,0\n"
~"183,938,370,4,8784,7648,-32592,0x3,177,0\n"
~"184,940,372,4,11648,4992,-32592,0x3,241,0\n"
~"185,942,374,4,12976,1712,-32592,0x3,49,0\n"
~"186,944,376,4,13264,-1952,-32592,0x3,113,0\n"
~"187,946,378,4,12160,-6480,-32592,0x3,177,0\n"
~"188,948,380,4,11120,-8416,-32592,0x3,209,0\n"
~"189,950,382,4,10656,-9040,-32560,0x3,17,0\n"
~"190,952,384,4,10400,-9440,-32592,0x3,49,0\n"
~"191,954,386,4,9600,-10176,-32592,0x3,113,0\n"
~"192,956,388,4,9152,-10736,-32560,0x3,177,0\n"
~"193,958,390,4,7936,-11600,-32592,0x3,209,0\n"
~"194,960,392,4,6496,-12608,-32592,0x3,145,0\n"
~"195,962,394,4,3504,-13600,-32592,0x3,49,0\n"
~"196,964,396,4,208,-14112,-32592,0x3,81,0\n"
~"197,966,398,4,-3408,-13552,-32592,0x3,145,0\n"
~"198,968,400,4,-6224,-12256,-32592,0x3,209,0\n"
~"199,970,402,4,-7696,-10768,-32592,0x3,17,0\n"
~"200,972,404,4,-9248,-8560,-32592,0x3,81,0\n"
~"201,974,406,4,-10240,-5648,-32560,0x3,113,0\n"
~"202,976,408,4,-10416,-2432,-32592,0x3,209,0\n"
~"203,978,410,4,-10048,240,-32592,0x3,241,0\n"
~"204,980,412,4,-8688,3680,-32592,0x3,49,0\n"
~"205,982,414,4,-7424,5296,-32592,0x3,113,0\n"
~"206,984,416,4,-5728,6816,-32592,0x3,145,0\n"
~"207,987,419,4,-1776,8912,-32592,0x3,49,0\n"
~"208,989,421,4,800,9360,-32592,0x3,113,0\n"
~"209,991,423,4,2368,9360,-32592,0x3,145,0\n"
~"210,993,425,4,3744,9264,-32592,0x3,209,0\n"
~"211,995,427,4,5712,9040,-32560,0x3,17,0\n"
