=cmd-param-changed,param="logging enabled",value="on"
~"index,tick,delta_tick,mode,x,y,z,sensor_config2,conv_status,read_status\n"
~"168,743,341,3,20384,-20560,-32560,0x1,241,0\n"
~"169,745,343,3,18752,-22128,-32560,0x1,49,0\n"
~"170,747,345,3,17568,-23040,-32592,0x1,113,0\n"
~"171,749,347,3,17584,-23104,-32592,0x1,177,0\n"
~"172,751,349,3,12896,-25600,-32560,0x1,17,0\n"
~"173,753,351,3,1728,-28880,-32592,0x1,49,0\n"
~"174,755,353,3,-7360,-28944,-32592,0x1,113,0\n"
~"175,757,355,3,-10816,-27440,-32592,0x1,177,0\n"
~"176,759,357,3,-13808,-25472,-32560,0x1,241,0\n"
~"177,761,359,3,-16064,-23184,-32560,0x1,49,0\n"
~"178,763,361,3,-19200,-19760,-32560,0x1,113,0\n"
~"179,765,363,3,-20144,-17888,-32592,0x1,177,0\n"
~"180,767,365,3,-21088,-16224,-32560,0x1,241,0\n"
~"181,769,367,3,-21952,-14128,-32560,0x1,81,0\n"
~"182,771,369,3,-22528,-11472,-32592,0x1,177,0\n"
~"183,773,371,3,-22816,-8032,-32592,0x1,17,0\n"
~"184,775,373,3,-22896,-4208,-32592,0x1,113,0\n"
~"185,777,375,3,-22080,-1184,-32592,0x1,177,0\n"
~"186,779,377,3,-21296,2224,-32592,0x1,17,0\n"
~"187,781,379,3,-20256,5904,-32560,0x1,49,0\n"
~"188,783,381,3,-17328,10192,-32592,0x1,113,0\n"
~"189,785,383,3,-14304,13344,-32592,0x1,177,0\n"
~"190,787,385,3,-12240,15136,-32592,0x1,241,0\n"
~"191,789,387,3,-9792,16608,-32592,0x1,49,0\n"
~"192,791,389,3,-7616,17856,-32560,0x1,177,0\n"
~"193,793,391,3,-2336,19264,-32592,0x1,177,0\n"
~"194,795,393,3,-112,19872,-32592,0x1,241,0\n"
~"195,797,395,3,7776,19872,-32592,0x1,49,0\n"
~"196,799,397,3,15424,17744,-32592,0x1,113,0\n"
~"197,801,399,3,19184,15824,-32592,0x1,209,0\n"
~"198,803,401,3,21472,13904,-32592,0x1,241,0\n"
~"199,805,403,3,22208,13056,-32560,0x1,49,0\n"
~"200,807,405,3,24416,10480,-32560,0x1,113,0\n"
~"201,809,407,3,26064,7024,-32592,0x1,177,0\n"
~"202,811,409,3,26960,3984,-32592,0x1,241,0\n"
~"203,813,411,3,27360,736,-32560,0x1,49,0\n"
~"204,815,413,3,27280,-1728,-32592,0x1,113,0\n"
~"205,817,415,3,26752,-6320,-32592,0x1,177,0\n"
~"206,819,417,3,25840,-10880,-32560,0x1,241,0\n"
~"207,821,419,3,24704,-14384,-32592,0x1,49,0\n"
~"208,823,421,3,23760,-15664,-32560,0x1,113,0\n"
~"209,825,423,3,23952,-16080,-32592,0x1,177,0\n"
~"210,827,425,3,23168,-16832,-32560,0x1,241,0\n"
~"211,829,427,3,21728,-18992,-32592,0x1,49,0\n"
~"212,831,429,3,20336,-20896,-32560,0x1,113,0\n"
~"213,833,431,3,20384,-20736,-32560,0x1,177,0\n"
~"214,835,433,3,20272,-20832,-32560,0x1,241,0\n"
~"215,837,435,3,20080,-20976,-32560,0x1,81,0\n"
~"216,839,437,3,18592,-22016,-32560,0x1,177,0\n"
~"217,842,440,3,12848,-23424,-32592,0x1,113,0\n"
~"218,844,442,3,-3952,-23760,-32560,0x1,113,0\n"
~"219,846,444,3,-15728,-23040,-32560,0x1,209,0\n"
~"220,848,446,3,-17408,-21744,-32592,0x1,49,0\n"
~"221,850,448,3,-19200,-19216,-32560,0x1,145,0\n"
~"222,852,450,3,-20672,-16736,-32592,0x1,241,0\n"
~"223,854,452,3,-21744,-14768,-32592,0x1,81,0\n"
~"224,856,454,3,-22288,-12304,-32592,0x1,113,0\n"
~"225,858,456,3,-22608,-8688,-32592,0x1,177,0\n"
~"226,860,458,3,-22336,-2096,-32560,0x1,241,0\n"
~"227,862,460,3,-20816,3664,-32560,0x1,49,0\n"
~"228,864,462,3,-19888,6752,-32560,0x1,113,0\n"
~"229,866,464,3,-16800,11104,-32592,0x1,177,0\n"
~"230,868,466,3,-12848,14528,-32560,0x1,241,0\n"
~"231,870,468,3,-10576,16176,-32592,0x1,49,0\n"
~"232,872,470,3,-8800,17008,-32560,0x1,113,0\n"
~"233,874,472,3,-4064,18816,-32592,0x1,177,0\n"
~"234,876,474,3,-1776,19520,-32592,0x1,17,0\n"
~"235,878,476,3,2384,20000,-32560,0x1,49,0\n"
~"236,880,478,3,8544,19792,-32560,0x1,113,0\n"
~"237,882,480,3,16192,17600,-32592,0x1,177,0\n"
~"238,884,482,3,18928,15808,-32592,0x1,241,0\n"
~"239,886,484,3,21264,14128,-32560,0x1,81,0\n"
