Timestamp(ms),Current(uA)
9270,4765.689
9280,4794.244
9290,4728.158
9300,4804.677
9310,4751.896
9320,4790.125
9330,4757.286
9340,4813.423
9350,4748.680
9360,4836.181
9370,4762.326
9380,4792.051
9390,4757.896
9400,4805.286
9410,4771.788
9420,4841.218
9430,4775.129
9440,4792.674
9450,4760.832
9460,4753.556
9470,4784.334
9480,4826.194
9490,4769.841
9500,4800.262
9510,4831.580
9520,4843.293
9530,4783.172
9540,4839.007
9550,4809.130
9560,4756.114
9570,4775.880
9580,4798.979
9590,4783.708
9600,4782.206
9610,4776.325
9620,4747.395
9630,4777.832
9640,4754.579
9650,4762.798
9660,4750.962
9670,4873.227
9680,4832.023
9690,4836.297
9700,4770.174
9710,4814.004
9720,4814.498
9730,4874.473
9740,4817.991
9750,4777.928
9760,4783.856
9770,4742.525
9780,4788.228
9790,4807.178
9800,4807.302
9810,4792.051
9820,4828.831
9830,4740.425
9840,4804.246
9850,4814.601
9860,4820.933
9870,4792.265
9880,4803.917
9890,4809.982
9900,4822.349
9910,4795.474
9920,4789.388
9930,4774.961
9940,4733.023
9950,4756.702
9960,4749.859
9970,4776.835
9980,4777.482
9990,4807.350
10000,4790.491
10010,4819.524
10020,4780.902
10030,4793.465
10040,4772.870
10050,4819.823
10060,4786.973
10070,4738.017
10080,4713.494
10090,4750.417
10100,4798.185
10110,4797.626
10120,4778.346
10130,4747.060
10140,4754.848
10150,4727.187
10160,4813.379
10170,4789.685
10180,4785.472
10190,4772.428
10200,4776.518
10210,4797.906
10220,4764.849
10230,4802.572
10240,4762.160
10250,4797.803
10260,4741.314
10270,4764.694
10280,4748.556
10290,4788.832
10300,4771.260
10310,4786.651
10320,4776.452
10330,4781.831
10340,4785.461
10350,5724.393
10360,6476.301
10370,10798.270
10380,12810.120
10390,14476.680
10400,14608.131
10410,13848.525
10420,13244.921
10430,12688.477
10440,12251.308
10450,11276.437
10460,10379.139
10470,9500.002
10480,8749.711
10490,8094.060
10500,7636.377
10510,7321.164
10520,7110.643
10530,6926.479
10540,6898.854
10550,6905.638
10560,6814.974
10570,6857.260
10580,6827.208
10590,6852.075
10600,6810.813
10610,6893.648
10620,6817.188
10630,6827.188
10640,6821.806
10650,6903.184
10660,6879.746
10670,6940.858
10680,6941.981
10690,6903.614
10700,6905.041
10710,6811.541
10720,6849.477
10730,6875.234
10740,6868.314
10750,6925.550
10760,6898.188
10770,6924.646
10780,6838.622
10790,6919.656
10800,6847.064
10810,6885.238
10820,6889.577
10830,6857.130
10840,6873.388
10850,6893.377
10860,6864.061
10870,6843.784
10880,6938.051
10890,6928.156
10900,6919.546
10910,6947.520
10920,6947.394
10930,6886.415
10940,6924.151
10950,6872.672
10960,6852.076
10970,6916.563
10980,6933.601
10990,6844.519
11000,6879.823
11010,6909.738
11020,6864.870
11030,6880.644
11040,6893.963
11050,6901.067
11060,6899.316
11070,6897.156
11080,6856.631
11090,6955.210
11100,6953.006
11110,6937.642
11120,6909.575
11130,6905.877
